Cutoff,Array Size,Serial Time
6.444444,590909.090909,0.091290
6.444444,600000.000000,0.092796
6.444444,609090.909091,0.093608
6.444444,618181.818182,0.094419
6.444444,627272.727273,0.095231
6.444444,636363.636364,0.096042
6.444444,645454.545455,0.096854
6.444444,654545.454545,0.097665
6.444444,663636.363636,0.098477
6.444444,672727.272727,0.099288
6.444444,681818.181818,0.100099
6.444444,690909.090909,0.100911
6.444444,700000.000000,0.101722
6.444444,709090.909091,0.102578
6.444444,718181.818182,0.103433
6.444444,727272.727273,0.104288
6.444444,736363.636364,0.105143
6.444444,745454.545455,0.105998
6.444444,754545.454545,0.106854
6.444444,763636.363636,0.107709
6.444444,772727.272727,0.108564
6.444444,781818.181818,0.109419
6.444444,790909.090909,0.110275
6.444444,800000.000000,0.111130
6.444444,809090.909091,0.111615
6.444444,818181.818182,0.112099
6.444444,827272.727273,0.112584
6.444444,836363.636364,0.113069
6.444444,845454.545455,0.113554
6.444444,854545.454545,0.114039
6.444444,863636.363636,0.114524
6.444444,872727.272727,0.115008
6.444444,881818.181818,0.115493
6.444444,890909.090909,0.115978
6.444444,900000.000000,0.116463
6.444444,909090.909091,0.118535
6.444444,918181.818182,0.120608
6.444444,927272.727273,0.122680
6.444444,936363.636364,0.124752
6.444444,945454.545455,0.126825
6.444444,954545.454545,0.128897
6.444444,963636.363636,0.130970
6.444444,972727.272727,0.133042
6.444444,981818.181818,0.135115
6.444444,990909.090909,0.137187
6.444444,1000000.000000,0.139259
6.555556,100000.000000,0.000000
6.555556,109090.909091,0.013707
6.555556,118181.818182,0.015025
6.555556,127272.727273,0.016343
6.555556,136363.636364,0.017662
6.555556,145454.545455,0.018980
6.555556,154545.454545,0.020298
6.555556,163636.363636,0.021616
6.555556,172727.272727,0.022934
6.555556,181818.181818,0.024252
6.555556,190909.090909,0.025571
6.555556,200000.000000,0.026889
6.555556,209090.909091,0.028747
6.555556,218181.818182,0.030606
6.555556,227272.727273,0.032465
6.555556,236363.636364,0.034323
6.555556,245454.545455,0.036182
6.555556,254545.454545,0.038040
6.555556,263636.363636,0.039899
6.555556,272727.272727,0.041758
6.555556,281818.181818,0.043616
6.555556,290909.090909,0.045475
6.555556,300000.000000,0.047333
6.555556,309090.909091,0.048673
6.555556,318181.818182,0.050013
6.555556,327272.727273,0.051354
6.555556,336363.636364,0.052694
6.555556,345454.545455,0.054034
6.555556,354545.454545,0.055374
6.555556,363636.363636,0.056714
6.555556,372727.272727,0.058054
6.555556,381818.181818,0.059394
6.555556,390909.090909,0.060734
6.555556,400000.000000,0.062074
6.555556,409090.909091,0.063411
6.555556,418181.818182,0.064747
6.555556,427272.727273,0.066084
6.555556,436363.636364,0.067421
6.555556,445454.545455,0.068758
6.555556,454545.454545,0.070094
6.555556,463636.363636,0.071431
6.555556,472727.272727,0.072768
6.555556,481818.181818,0.074104
6.555556,490909.090909,0.075441
6.555556,500000.000000,0.076778
6.555556,509090.909091,0.078271
6.555556,518181.818182,0.079764
6.555556,527272.727273,0.081258
6.555556,536363.636364,0.082751
6.555556,545454.545455,0.084244
6.555556,554545.454545,0.085737
6.555556,563636.363636,0.087231
6.555556,572727.272727,0.088724
6.555556,581818.181818,0.090217
6.555556,590909.090909,0.091710
6.555556,600000.000000,0.093204
6.555556,609090.909091,0.093923
6.555556,618181.818182,0.094641
6.555556,627272.727273,0.095360
6.555556,636363.636364,0.096079
6.555556,645454.545455,0.096798
6.555556,654545.454545,0.097517
6.555556,663636.363636,0.098236
6.555556,672727.272727,0.098955
6.555556,681818.181818,0.099674
6.555556,690909.090909,0.100392
6.555556,700000.000000,0.101111
6.555556,709090.909091,0.101923
6.555556,718181.818182,0.102734
6.555556,727272.727273,0.103546
6.555556,736363.636364,0.104357
6.555556,745454.545455,0.105169
6.555556,754545.454545,0.105980
6.555556,763636.363636,0.106791
6.555556,772727.272727,0.107603
6.555556,781818.181818,0.108414
6.555556,790909.090909,0.109226
6.555556,800000.000000,0.110037
6.555556,809090.909091,0.110613
6.555556,818181.818182,0.111189
6.555556,827272.727273,0.111764
6.555556,836363.636364,0.112340
6.555556,845454.545455,0.112916
6.555556,854545.454545,0.113492
6.555556,863636.363636,0.114067
6.555556,872727.272727,0.114643
6.555556,881818.181818,0.115219
6.555556,890909.090909,0.115794
6.555556,900000.000000,0.116370
6.555556,909090.909091,0.118328
6.555556,918181.818182,0.120286
6.555556,927272.727273,0.122244
6.555556,936363.636364,0.124202
6.555556,945454.545455,0.126160
6.555556,954545.454545,0.128118
6.555556,963636.363636,0.130076
6.555556,972727.272727,0.132034
6.555556,981818.181818,0.133992
6.555556,990909.090909,0.135950
6.555556,1000000.000000,0.137908
6.666667,100000.000000,0.000000
6.666667,109090.909091,0.013818
6.666667,118181.818182,0.015136
6.666667,127272.727273,0.016455
6.666667,136363.636364,0.017773
6.666667,145454.545455,0.019091
6.666667,154545.454545,0.020409
6.666667,163636.363636,0.021727
6.666667,172727.272727,0.023045
6.666667,181818.181818,0.024364
6.666667,190909.090909,0.025682
6.666667,200000.000000,0.027000
6.666667,209090.909091,0.028818
6.666667,218181.818182,0.030636
6.666667,227272.727273,0.032455
6.666667,236363.636364,0.034273
6.666667,245454.545455,0.036091
6.666667,254545.454545,0.037909
6.666667,263636.363636,0.039727
6.666667,272727.272727,0.041545
6.666667,281818.181818,0.043364
6.666667,290909.090909,0.045182
6.666667,300000.000000,0.047000
6.666667,309090.909091,0.048369
6.666667,318181.818182,0.049737
6.666667,327272.727273,0.051106
6.666667,336363.636364,0.052475
6.666667,345454.545455,0.053843
6.666667,354545.454545,0.055212
6.666667,363636.363636,0.056581
6.666667,372727.272727,0.057950
6.666667,381818.181818,0.059318
6.666667,390909.090909,0.060687
6.666667,400000.000000,0.062056
6.666667,409090.909091,0.063444
6.666667,418181.818182,0.064833
6.666667,427272.727273,0.066222
6.666667,436363.636364,0.067611
6.666667,445454.545455,0.069000
6.666667,454545.454545,0.070389
6.666667,463636.363636,0.071778
6.666667,472727.272727,0.073167
6.666667,481818.181818,0.074556
6.666667,490909.090909,0.075944
6.666667,500000.000000,0.077333
6.666667,509090.909091,0.078813
6.666667,518181.818182,0.080293
6.666667,527272.727273,0.081773
6.666667,536363.636364,0.083253
6.666667,545454.545455,0.084732
6.666667,554545.454545,0.086212
6.666667,563636.363636,0.087692
6.666667,572727.272727,0.089172
6.666667,581818.181818,0.090652
6.666667,590909.090909,0.092131
6.666667,600000.000000,0.093611
6.666667,609090.909091,0.094237
6.666667,618181.818182,0.094864
6.666667,627272.727273,0.095490
6.666667,636363.636364,0.096116
6.666667,645454.545455,0.096742
6.666667,654545.454545,0.097369
6.666667,663636.363636,0.097995
6.666667,672727.272727,0.098621
6.666667,681818.181818,0.099248
6.666667,690909.090909,0.099874
6.666667,700000.000000,0.100500
6.666667,709090.909091,0.101268
6.666667,718181.818182,0.102036
6.666667,727272.727273,0.102803
6.666667,736363.636364,0.103571
6.666667,745454.545455,0.104339
6.666667,754545.454545,0.105106
6.666667,763636.363636,0.105874
6.666667,772727.272727,0.106642
6.666667,781818.181818,0.107409
6.666667,790909.090909,0.108177
6.666667,800000.000000,0.108945
6.666667,809090.909091,0.109611
6.666667,818181.818182,0.110278
6.666667,827272.727273,0.110945
6.666667,836363.636364,0.111611
6.666667,845454.545455,0.112278
6.666667,854545.454545,0.112944
6.666667,863636.363636,0.113611
6.666667,872727.272727,0.114278
6.666667,881818.181818,0.114944
6.666667,890909.090909,0.115611
6.666667,900000.000000,0.116278
6.666667,909090.909091,0.118121
6.666667,918181.818182,0.119965
6.666667,927272.727273,0.121808
6.666667,936363.636364,0.123651
6.666667,945454.545455,0.125495
6.666667,954545.454545,0.127338
6.666667,963636.363636,0.129182
6.666667,972727.272727,0.131025
6.666667,981818.181818,0.132869
6.666667,990909.090909,0.134712
6.666667,1000000.000000,0.136556
6.777778,100000.000000,0.000000
6.777778,109090.909091,0.013929
6.777778,118181.818182,0.015247
6.777778,127272.727273,0.016566
6.777778,136363.636364,0.017884
6.777778,145454.545455,0.019202
6.777778,154545.454545,0.020520
6.777778,163636.363636,0.021838
6.777778,172727.272727,0.023157
6.777778,181818.181818,0.024475
6.777778,190909.090909,0.025793
6.777778,200000.000000,0.027111
6.777778,209090.909091,0.028889
6.777778,218181.818182,0.030667
6.777778,227272.727273,0.032444
6.777778,236363.636364,0.034222
6.777778,245454.545455,0.036000
6.777778,254545.454545,0.037778
6.777778,263636.363636,0.039556
6.777778,272727.272727,0.041333
6.777778,281818.181818,0.043111
6.777778,290909.090909,0.044889
6.777778,300000.000000,0.046667
6.777778,309090.909091,0.048064
6.777778,318181.818182,0.049461
6.777778,327272.727273,0.050859
6.777778,336363.636364,0.052256
6.777778,345454.545455,0.053653
6.777778,354545.454545,0.055051
6.777778,363636.363636,0.056448
6.777778,372727.272727,0.057845
6.777778,381818.181818,0.059242
6.777778,390909.090909,0.060640
6.777778,400000.000000,0.062037
6.777778,409090.909091,0.063478
6.777778,418181.818182,0.064919
6.777778,427272.727273,0.066360
6.777778,436363.636364,0.067801
6.777778,445454.545455,0.069242
6.777778,454545.454545,0.070684
6.777778,463636.363636,0.072125
6.777778,472727.272727,0.073566
6.777778,481818.181818,0.075007
6.777778,490909.090909,0.076448
6.777778,500000.000000,0.077889
6.777778,509090.909091,0.079355
6.777778,518181.818182,0.080822
6.777778,527272.727273,0.082288
6.777778,536363.636364,0.083754
6.777778,545454.545455,0.085221
6.777778,554545.454545,0.086687
6.777778,563636.363636,0.088153
6.777778,572727.272727,0.089620
6.777778,581818.181818,0.091086
6.777778,590909.090909,0.092552
6.777778,600000.000000,0.094019
6.777778,609090.909091,0.094552
6.777778,618181.818182,0.095086
6.777778,627272.727273,0.095620
6.777778,636363.636364,0.096153
6.777778,645454.545455,0.096687
6.777778,654545.454545,0.097221
6.777778,663636.363636,0.097754
6.777778,672727.272727,0.098288
6.777778,681818.181818,0.098822
6.777778,690909.090909,0.099355
6.777778,700000.000000,0.099889
6.777778,709090.909091,0.100613
6.777778,718181.818182,0.101337
6.777778,727272.727273,0.102061
6.777778,736363.636364,0.102785
6.777778,745454.545455,0.103509
6.777778,754545.454545,0.104233
6.777778,763636.363636,0.104956
6.777778,772727.272727,0.105680
6.777778,781818.181818,0.106404
6.777778,790909.090909,0.107128
6.777778,800000.000000,0.107852
6.777778,809090.909091,0.108610
6.777778,818181.818182,0.109367
6.777778,827272.727273,0.110125
6.777778,836363.636364,0.110882
6.777778,845454.545455,0.111640
6.777778,854545.454545,0.112397
6.777778,863636.363636,0.113155
6.777778,872727.272727,0.113912
6.777778,881818.181818,0.114670
6.777778,890909.090909,0.115428
6.777778,900000.000000,0.116185
6.777778,909090.909091,0.117914
6.777778,918181.818182,0.119643
6.777778,927272.727273,0.121372
6.777778,936363.636364,0.123101
6.777778,945454.545455,0.124830
6.777778,954545.454545,0.126559
6.777778,963636.363636,0.128288
6.777778,972727.272727,0.130017
6.777778,981818.181818,0.131746
6.777778,990909.090909,0.133475
6.777778,1000000.000000,0.135204
6.888889,100000.000000,0.000000
6.888889,109090.909091,0.014040
6.888889,118181.818182,0.015359
